Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q2[openssl]: count 1579, average 647, total 1022026
@q2[ksoftirqd/169]: count 221, average 676, total 149531


@q4[openssl]: count 39907, average 958, total 38242342
@q4[ksoftirqd/169]: count 3061, average 969, total 2967021

@q5[openssl]: count 312796, average 433, total 135529811
@q5[ksoftirqd/169]: count 23681, average 434, total 10288344

@uc: count 2444, average 4857, total 11871903

@q1[openssl]: count 928, average 2509, total 2328842
@q1[ksoftirqd/169]: count 143, average 2548, total 364423

@q2[openssl]: count 1591, average 647, total 1030831
@q2[ksoftirqd/169]: count 225, average 687, total 154659


@q4[ksoftirqd/169]: count 2953, average 956, total 2824538
@q4[openssl]: count 39962, average 959, total 38346341

@q5[ksoftirqd/169]: count 22829, average 433, total 9905294
@q5[openssl]: count 313241, average 433, total 135788807

@uc: count 2325, average 5074, total 11798261

@q1[openssl]: count 876, average 2498, total 2189016
@q1[ksoftirqd/169]: count 129, average 2546, total 328498

@q2[openssl]: count 1596, average 649, total 1037258
@q2[ksoftirqd/169]: count 209, average 668, total 139671


@q4[ksoftirqd/169]: count 2617, average 954, total 2497625
@q4[openssl]: count 40124, average 959, total 38486107

@q5[ksoftirqd/169]: count 20210, average 433, total 8760948
@q5[openssl]: count 314610, average 433, total 136265752

@uc: count 1892, average 5272, total 9974746

@q1[openssl]: count 864, average 2443, total 2110830
@q1[ksoftirqd/169]: count 145, average 2522, total 365764

@q2[openssl]: count 1574, average 645, total 1016146
@q2[ksoftirqd/169]: count 229, average 649, total 148829
@q2[kworker/169:2]: count 1, average 36008, total 36008


@q4[ksoftirqd/169]: count 2838, average 953, total 2707323
@q4[openssl]: count 39853, average 960, total 38276078
@q4[kworker/169:2]: count 50, average 1636, total 81838

@q5[ksoftirqd/169]: count 21889, average 432, total 9473841
@q5[openssl]: count 312377, average 432, total 135240942
@q5[kworker/169:2]: count 396, average 518, total 205368

@uc: count 2173, average 5890, total 12800751

@q1[openssl]: count 911, average 2501, total 2279205
@q1[ksoftirqd/169]: count 132, average 2641, total 348629

@q2[openssl]: count 1604, average 648, total 1040652
@q2[ksoftirqd/169]: count 212, average 693, total 147120


@q4[openssl]: count 39876, average 959, total 38262985
@q4[ksoftirqd/169]: count 3108, average 967, total 3007278

@q5[ksoftirqd/169]: count 24125, average 432, total 10429520
@q5[openssl]: count 312533, average 433, total 135350012

@uc: count 2438, average 11253, total 27436660

@q1[openssl]: count 943, average 2544, total 2399535
@q1[ksoftirqd/169]: count 145, average 2686, total 389608

@q2[openssl]: count 1620, average 651, total 1055560
@q2[ksoftirqd/169]: count 225, average 688, total 154993


@q4[openssl]: count 40505, average 959, total 38854149
@q4[ksoftirqd/169]: count 2754, average 967, total 2665127

@q5[ksoftirqd/169]: count 21268, average 432, total 9204845
@q5[openssl]: count 317597, average 433, total 137568378

@uc: count 2308, average 12115, total 27963201

@q1[openssl]: count 934, average 2534, total 2366814
@q1[ksoftirqd/169]: count 149, average 2566, total 382446
@q1[kworker/169:2]: count 2, average 10319, total 20638

@q2[openssl]: count 1604, average 650, total 1043610
@q2[ksoftirqd/169]: count 210, average 659, total 138522
@q2[kworker/169:2]: count 3, average 12627, total 37881


@q4[ksoftirqd/169]: count 2660, average 958, total 2549340
@q4[openssl]: count 40301, average 965, total 38896933
@q4[kworker/169:2]: count 56, average 1574, total 88192

@q5[ksoftirqd/169]: count 20533, average 433, total 8901174
@q5[openssl]: count 316035, average 433, total 136980705
@q5[kworker/169:2]: count 437, average 505, total 221073

@uc: count 2402, average 8337, total 20026751

@q1[openssl]: count 896, average 2463, total 2207172
@q1[ksoftirqd/169]: count 155, average 2596, total 402472

@q2[openssl]: count 1587, average 649, total 1031005
@q2[ksoftirqd/169]: count 223, average 654, total 145849
@q2[kworker/169:2]: count 2, average 18009, total 36018


@q4[openssl]: count 40074, average 961, total 38548106
@q4[ksoftirqd/169]: count 2824, average 967, total 2731779
@q4[kworker/169:2]: count 45, average 1092, total 49163

@q5[openssl]: count 314188, average 433, total 136150431
@q5[ksoftirqd/169]: count 21794, average 434, total 9465810
@q5[kworker/169:2]: count 355, average 464, total 164975

@uc: count 2343, average 6189, total 14501916

@q1[openssl]: count 880, average 2518, total 2216700
@q1[ksoftirqd/169]: count 160, average 2603, total 416531
@q1[kworker/169:2]: count 1, average 20879, total 20879

@q2[openssl]: count 1569, average 650, total 1019962
@q2[ksoftirqd/169]: count 234, average 669, total 156622
@q2[kworker/169:2]: count 1, average 37942, total 37942


@q4[ksoftirqd/169]: count 2818, average 957, total 2696931
@q4[openssl]: count 40158, average 1925, total 77310245
@q4[kworker/169:2]: count 1, average 33984, total 33984

@q5[ksoftirqd/169]: count 21728, average 435, total 9469148
@q5[openssl]: count 314966, average 865, total 272579631
@q5[kworker/169:2]: count 7, average 4908, total 34362

@uc: count 2566, average 6972, total 17890724

@q1[openssl]: count 914, average 2489, total 2275216
@q1[ksoftirqd/169]: count 157, average 2646, total 415545
@q1[kworker/169:2]: count 2, average 9873, total 19747

@q2[openssl]: count 1585, average 652, total 1034694
@q2[ksoftirqd/169]: count 223, average 664, total 148089
@q2[kworker/169:2]: count 4, average 9452, total 37811


@q4[ksoftirqd/169]: count 2633, average 957, total 2520611
@q4[openssl]: count 40311, average 961, total 38742845
@q4[kworker/169:2]: count 95, average 1333, total 126711

@q5[ksoftirqd/169]: count 20311, average 433, total 8802322
@q5[openssl]: count 316112, average 433, total 136932509
@q5[kworker/169:2]: count 743, average 475, total 353429

@uc: count 2239, average 6251, total 13997850

@q1[openssl]: count 889, average 2463, total 2189710
@q1[ksoftirqd/169]: count 166, average 2717, total 451064
@q1[kworker/169:2]: count 1, average 17092, total 17092

@q2[openssl]: count 1564, average 648, total 1013776
@q2[ksoftirqd/169]: count 242, average 659, total 159551
@q2[kworker/169:2]: count 4, average 10281, total 41126


@q4[openssl]: count 39876, average 961, total 38338526
@q4[ksoftirqd/169]: count 2983, average 966, total 2883918
@q4[kworker/169:2]: count 84, average 1391, total 116926

@q5[openssl]: count 312659, average 433, total 135410446
@q5[ksoftirqd/169]: count 23014, average 434, total 9990920
@q5[kworker/169:2]: count 662, average 483, total 320199

@uc: count 2175, average 6031, total 13118295

@q1[openssl]: count 880, average 2491, total 2192749
@q1[ksoftirqd/169]: count 137, average 2668, total 365589

@q2[openssl]: count 1589, average 655, total 1041832
@q2[ksoftirqd/169]: count 209, average 685, total 143368
@q2[kworker/169:2]: count 2, average 18099, total 36198


@q4[ksoftirqd/169]: count 2581, average 956, total 2468248
@q4[openssl]: count 40134, average 960, total 38538979
@q4[kworker/169:2]: count 52, average 1626, total 84563

@q5[ksoftirqd/169]: count 19942, average 433, total 8648628
@q5[openssl]: count 314733, average 433, total 136334170
@q5[kworker/169:2]: count 410, average 510, total 209231

@uc: count 2481, average 6520, total 16177622

@q1[openssl]: count 944, average 2533, total 2391698
@q1[ksoftirqd/169]: count 153, average 2621, total 401108

@q2[openssl]: count 1570, average 649, total 1020267
@q2[ksoftirqd/169]: count 228, average 660, total 150485


@q4[ksoftirqd/169]: count 2837, average 955, total 2710288
@q4[openssl]: count 40208, average 961, total 38679841

@q5[ksoftirqd/169]: count 21895, average 433, total 9489120
@q5[openssl]: count 315288, average 433, total 136702226

@uc: count 2323, average 6293, total 14619909

@q1[openssl]: count 906, average 2496, total 2261835
@q1[ksoftirqd/169]: count 139, average 2611, total 363041

@q2[openssl]: count 1598, average 654, total 1046261
@q2[ksoftirqd/169]: count 209, average 667, total 139556
@q2[kworker/169:2]: count 2, average 18690, total 37381


@q4[openssl]: count 40143, average 963, total 38687172
@q4[ksoftirqd/169]: count 2666, average 971, total 2590064
@q4[kworker/169:2]: count 46, average 1089, total 50094

