,cn,comm,ues,count,pid,time,time (ms),tool,diff
255,free5gc,systemd-journal,50,1484,43813,06:45:00,65496.676738,sysprocess,8.3
256,oai,systemd,50,3256,1,17:54:48,68400.906889,sysprocess,-1.0
257,free5gc,cron,50,6,682,06:45:00,0.038677,sysprocess,0.0
258,free5gc,irqbalance,50,98,688,06:45:00,59993.551339,sysprocess,0.15
259,open5gs,open5gs-sgwud,50,42,51796,14:44:47,58562.425758,sysprocess,0.0
260,free5gc,nssf,50,147,18646,06:45:00,120032.155405,sysprocess,3.425
261,open5gs,open5gs-hssd,50,1525,51820,14:44:47,545349.319852,sysprocess,0.05
262,free5gc,nrf,50,113822,18587,06:45:00,264975.763634,sysprocess,2686.275
263,open5gs,open5gs-nrfd,50,1919,51810,14:44:47,70005.592951,sysprocess,20.575
264,open5gs,open5gs-bsfd,50,103,51809,14:44:47,60063.747189,sysprocess,0.1
265,free5gc,packagekitd,50,98,35184,06:45:00,65004.980545,sysprocess,
266,free5gc,pcf,50,36126,18629,06:45:00,247216.221091,sysprocess,827.95
267,open5gs,open5gs-ausfd,50,5095,51788,14:44:47,60003.00187,sysprocess,108.175
268,open5gs,open5gs-nssfd,50,98,51811,14:44:47,60048.607396,sysprocess,-0.125
269,open5gs,open5gs-amfd,50,17072,51781,14:44:47,69087.440791,sysprocess,365.9
270,free5gc,polkitd,50,71,691,06:45:00,9.948419,sysprocess,0.225
271,free5gc,multipathd,50,434,460,06:45:00,233026.380671,sysprocess,3.55
272,open5gs,multipathd,50,293,459,14:44:47,263030.098981,sysprocess,0.0
273,oai,udm,50,69600,82225,17:54:48,67698.793094,sysprocess,8.1
274,open5gs,open5gs-pcfd,50,2212,51815,14:44:47,68126.513443,sysprocess,41.425
275,free5gc,python3,50,93,72258,06:45:00,70024.879912,sysprocess,0.775
276,open5gs,open5gs-pcrfd,50,1525,51818,14:44:47,545348.547112,sysprocess,-1.525
277,open5gs,irqbalance,50,100,687,14:44:47,59999.341955,sysprocess,-0.2
278,free5gc,rsyslogd,50,103,35679,06:45:00,130125.558466,sysprocess,-0.075
279,open5gs,dbus-daemon,50,116,681,14:44:47,59314.24934,sysprocess,0.25
280,free5gc,mongod,50,22889,13372,06:45:00,1383055.515359,sysprocess,364.7
281,open5gs,open5gs-scpd,50,18797,51790,14:44:47,69449.917735,sysprocess,330.4
282,open5gs,accounts-daemon,50,467,677,14:44:47,188164.121267,sysprocess,1.775
283,free5gc,smf,50,147,18610,06:45:00,120031.61346,sysprocess,3.425
284,open5gs,[unknown],50,1415,51789,14:44:47,3411.599424,sysprocess,-153.375
285,open5gs,open5gs-sgwcd,50,35,51791,14:44:47,55051.215129,sysprocess,0.0
286,oai,udr,50,69649,82240,17:54:48,67400.401954,sysprocess,-1.025
287,free5gc,snapd,50,15,60466,06:45:00,60000.348462,sysprocess,-2.275
288,open5gs,mongod,50,8848,13249,14:44:47,893575.511221,sysprocess,32.55
289,oai,sshd,50,527,82138,17:54:48,91.918944,sysprocess,-0.35
