Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q5[openssl]: count 272293, average 442, total 120477854

@uc: count 2163, average 6159, total 13322710

@q1[ksoftirqd/169]: count 132, average 2319, total 306129
@q1[openssl]: count 1500, average 2702, total 4054087

@q2[openssl]: count 1601, average 655, total 1048855
@q2[ksoftirqd/169]: count 230, average 656, total 150981


@q4[openssl]: count 34823, average 955, total 33286015
@q4[ksoftirqd/169]: count 2270, average 959, total 2178071

@q5[ksoftirqd/169]: count 17271, average 438, total 7570040
@q5[openssl]: count 271826, average 444, total 120776488

@uc: count 2614, average 6194, total 16191705

@q1[ksoftirqd/169]: count 150, average 2351, total 352696
@q1[openssl]: count 1584, average 2586, total 4096714
@q1[kworker/169:1]: count 1, average 37921, total 37921

@q2[openssl]: count 1667, average 648, total 1081169
@q2[ksoftirqd/169]: count 224, average 682, total 152898
@q2[kworker/169:1]: count 1, average 35156, total 35156


@q4[ksoftirqd/169]: count 2303, average 949, total 2187073
@q4[openssl]: count 34878, average 954, total 33307325
