oai-udr     | [2023-08-09 07:37:58.735] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.740] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.741] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.745] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.746] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.750] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.751] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.754] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.755] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.758] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.759] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.762] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.764] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.767] [udr_mysql] [error] [UE Id 208950000000689] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000689'
oai-udr     | [2023-08-09 07:37:58.768] [udr_mysql] [error] [UE Id 208950000000689] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000689'
oai-udr     | [2023-08-09 07:37:58.772] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.773] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.777] [udr_mysql] [error] [UE Id 208950000000696] Failed when executing mysql_real_query with SQL Query: SELECT * FROM AuthenticationSubscription WHERE ueid='208950000000696'
oai-udr     | [2023-08-09 07:37:58.778] [udr_mysql] [error] [UE Id 208950000000696] mysql_real_query failure！ SQL Query SELECT * FROM AuthenticationStatus WHERE ueid='208950000000696'
