Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.





@uc: count 590, average 65740, total 38786673






@uc: count 143, average 14867, total 2125996






@uc: count 214, average 11762, total 2517130






@q5[swapper/169]: count 145836, average 711, total 103721029
@q5[ksoftirqd/169]: count 7189, average 713, total 5130892

@uc: count 20456, average 2597, total 53125829

@q1[swapper/169]: count 391, average 3339, total 1305824
@q1[ksoftirqd/169]: count 70, average 3634, total 254434
@q1[iperf]: count 1, average 34484, total 34484

@q2[swapper/169]: count 1570, average 1051, total 1651218
@q2[ksoftirqd/169]: count 146, average 1265, total 184775
@q2[iperf]: count 1, average 17142, total 17142


@q4[ksoftirqd/169]: count 854, average 1618, total 1382151
@q4[swapper/169]: count 18992, average 1634, total 31043981
@q4[iperf]: count 1, average 16200, total 16200

@q5[swapper/169]: count 146687, average 711, total 104423586
@q5[ksoftirqd/169]: count 6392, average 715, total 4573440
@q5[iperf]: count 4, average 3844, total 15378

@uc: count 20396, average 2415, total 49273317

@q1[swapper/169]: count 385, average 3310, total 1274463
@q1[ksoftirqd/169]: count 74, average 3668, total 271435
@q1[iperf]: count 4, average 5951, total 23806

@q2[swapper/169]: count 1555, average 1066, total 1658338
@q2[ksoftirqd/169]: count 176, average 1128, total 198614
@q2[iperf]: count 4, average 3233, total 12935


@q4[ksoftirqd/169]: count 1008, average 1618, total 1631709
@q4[swapper/169]: count 18830, average 1636, total 30815009
@q4[iperf]: count 4, average 3381, total 13526

@q5[swapper/169]: count 145478, average 711, total 103549321
@q5[ksoftirqd/169]: count 7562, average 713, total 5399228
@q5[iperf]: count 15, average 1531, total 22973

@uc: count 20420, average 2651, total 54150255

@q1[swapper/169]: count 395, average 3322, total 1312564
@q1[ksoftirqd/169]: count 64, average 3716, total 237869
@q1[iperf]: count 2, average 8205, total 16411

@q2[swapper/169]: count 1565, average 1064, total 1665781
@q2[ksoftirqd/169]: count 145, average 1271, total 184338
@q2[iperf]: count 2, average 5966, total 11933


@q4[swapper/169]: count 18890, average 1633, total 30854848
@q4[ksoftirqd/169]: count 932, average 1646, total 1534758
@q4[iperf]: count 2, average 5680, total 11361

@q5[swapper/169]: count 146033, average 715, total 104427885
@q5[ksoftirqd/169]: count 7029, average 717, total 5043934
@q5[iperf]: count 7, average 2079, total 14557

@uc: count 20564, average 2889, total 59420196

@q1[swapper/169]: count 422, average 3438, total 1450929
@q1[ksoftirqd/169]: count 68, average 3615, total 245872
@q1[iperf]: count 2, average 22893, total 45786

@q2[swapper/169]: count 1544, average 1064, total 1642981
@q2[ksoftirqd/169]: count 162, average 1262, total 204506
@q2[iperf]: count 2, average 12719, total 25438


@q4[ksoftirqd/169]: count 899, average 1616, total 1453226
@q4[swapper/169]: count 18917, average 1656, total 31333909
@q4[iperf]: count 2, average 10324, total 20648

@q5[ksoftirqd/169]: count 6718, average 719, total 4835003
@q5[swapper/169]: count 146331, average 720, total 105392733
@q5[iperf]: count 7, average 3064, total 21450

@uc: count 20569, average 2542, total 52303243

@q1[swapper/169]: count 393, average 3260, total 1281422
@q1[ksoftirqd/169]: count 63, average 4052, total 255313
@q1[iperf]: count 5, average 5897, total 29486

@q2[swapper/169]: count 1563, average 1053, total 1646969
@q2[ksoftirqd/169]: count 158, average 1202, total 189984
@q2[iperf]: count 5, average 2835, total 14176


@q4[ksoftirqd/169]: count 1013, average 1611, total 1632544
@q4[swapper/169]: count 18820, average 1636, total 30796704
@q4[iperf]: count 5, average 2953, total 14768

@q5[swapper/169]: count 145378, average 711, total 103425300
@q5[ksoftirqd/169]: count 7638, average 712, total 5443983
