Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.





@uc: count 507, average 101174, total 51295282
@q1[openssl]: count 685, average 1781, total 1220077
@q1[ksoftirqd/169]: count 46, average 2048, total 94245

@q2[openssl]: count 1449, average 593, total 860440
@q2[ksoftirqd/169]: count 89, average 763, total 67951


@q4[openssl]: count 30059, average 958, total 28798475
@q4[ksoftirqd/169]: count 685, average 959, total 657447

@q5[openssl]: count 233036, average 429, total 100195949
@q5[ksoftirqd/169]: count 5107, average 430, total 2200158

@uc: count 1829, average 6804, total 12445976

@q1[openssl]: count 679, average 1788, total 1214612
@q1[ksoftirqd/169]: count 50, average 2110, total 105512
@q1[kworker/169:1]: count 1, average 19216, total 19216

@q2[openssl]: count 1417, average 615, total 872359
@q2[ksoftirqd/169]: count 104, average 656, total 68251
@q2[kworker/169:1]: count 1, average 14207, total 14207


@q4[ksoftirqd/169]: count 696, average 947, total 659659
@q4[openssl]: count 30021, average 958, total 28788384
@q4[kworker/169:1]: count 1, average 38663, total 38663

@q5[openssl]: count 232913, average 429, total 100116861
@q5[ksoftirqd/169]: count 5141, average 431, total 2216857
@q5[kworker/169:1]: count 6, average 5555, total 33332

@uc: count 1811, average 6021, total 10904744

@q1[openssl]: count 673, average 1755, total 1181335
@q1[ksoftirqd/169]: count 51, average 2183, total 111333
@q1[kworker/169:1]: count 1, average 17543, total 17543

@q2[openssl]: count 1397, average 597, total 834978
@q2[ksoftirqd/169]: count 103, average 914, total 94148
@q2[kworker/169:1]: count 1, average 11051, total 11051


@q4[ksoftirqd/169]: count 800, average 956, total 765509
@q4[openssl]: count 29910, average 957, total 28644582
@q4[kworker/169:1]: count 1, average 35296, total 35296

@q5[ksoftirqd/169]: count 5979, average 429, total 2569308
@q5[openssl]: count 232097, average 429, total 99782492
@q5[kworker/169:1]: count 7, average 3904, total 27333

@uc: count 2172, average 7044, total 15300364

@q1[openssl]: count 672, average 1777, total 1194624
@q1[ksoftirqd/169]: count 50, average 2062, total 103117

@q2[openssl]: count 1394, average 606, total 845811
@q2[ksoftirqd/169]: count 111, average 675, total 74990
@q2[kworker/169:1]: count 1, average 16681, total 16681


@q4[ksoftirqd/169]: count 691, average 952, total 658378
@q4[openssl]: count 29999, average 957, total 28709804
@q4[kworker/169:1]: count 33, average 2105, total 69492

@q5[openssl]: count 232713, average 429, total 100050092
@q5[ksoftirqd/169]: count 5108, average 433, total 2214188
@q5[kworker/169:1]: count 260, average 557, total 145003

