Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q4[iperf]: count 22, average 1711, total 37662

@q5[swapper/169]: count 166427, average 464, total 77323666
@q5[iperf]: count 169, average 521, total 88081
@q5[ksoftirqd/169]: count 185456, average 633, total 117487309

@uc: count 31821, average 1604, total 51058966

@q1[swapper/169]: count 470, average 2690, total 1264482
@q1[ksoftirqd/169]: count 128, average 2947, total 377341

@q2[swapper/169]: count 699, average 654, total 457313
@q2[ksoftirqd/169]: count 200, average 786, total 157262


@q4[swapper/169]: count 21408, average 1043, total 22334572
@q4[ksoftirqd/169]: count 22688, average 1439, total 32654808
@q4[iperf]: count 16, average 2120, total 33925

@q5[swapper/169]: count 168456, average 467, total 78787322
@q5[iperf]: count 128, average 569, total 72920
@q5[ksoftirqd/169]: count 179856, average 1286, total 231345180

@uc: count 30790, average 1669, total 51394234

@q1[ksoftirqd/169]: count 130, average 2716, total 353111
@q1[swapper/169]: count 503, average 2726, total 1371528

@q2[ksoftirqd/169]: count 214, average 671, total 143692
@q2[swapper/169]: count 740, average 678, total 502445
@q2[kworker/169:2]: count 1, average 30267, total 30267


@q4[swapper/169]: count 22196, average 1022, total 22698952
@q4[kworker/169:2]: count 55, average 1338, total 73638
@q4[ksoftirqd/169]: count 22051, average 1429, total 31528574
@q4[iperf]: count 80, average 1651, total 132151

@q5[swapper/169]: count 174459, average 459, total 80202424
@q5[kworker/169:2]: count 436, average 479, total 208867
@q5[ksoftirqd/169]: count 174830, average 629, total 110122580
@q5[iperf]: count 637, average 720, total 458890

@uc: count 28612, average 1829, total 52343258

@q1[swapper/169]: count 469, average 2751, total 1290422
@q1[ksoftirqd/169]: count 132, average 2772, total 365988
@q1[iperf]: count 1, average 38994, total 38994

@q2[swapper/169]: count 683, average 648, total 442836
@q2[ksoftirqd/169]: count 198, average 735, total 145557
@q2[iperf]: count 3, average 6339, total 19017


@q4[swapper/169]: count 21393, average 1025, total 21932370
@q4[iperf]: count 38, average 1274, total 48439
@q4[ksoftirqd/169]: count 23036, average 1422, total 32763770

@q5[iperf]: count 296, average 458, total 135707
@q5[swapper/169]: count 168257, average 462, total 77735135
@q5[ksoftirqd/169]: count 182625, average 625, total 114297025

