Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q5[iperf]: count 825, average 661, total 546108

@uc: count 31734, average 1786, total 56691908

@q1[swapper/169]: count 446, average 2672, total 1191979
@q1[ksoftirqd/169]: count 120, average 3074, total 368937

@q2[swapper/169]: count 739, average 666, total 492188
@q2[ksoftirqd/169]: count 191, average 815, total 155721


@q4[swapper/169]: count 23957, average 1038, total 24890349
@q4[ksoftirqd/169]: count 19985, average 1434, total 28660616

@q5[swapper/169]: count 188545, average 462, total 87241011
@q5[ksoftirqd/169]: count 158412, average 634, total 100468599

@uc: count 30465, average 1682, total 51267889

@q1[swapper/169]: count 552, average 2680, total 1479910
@q1[ksoftirqd/169]: count 106, average 2890, total 306342

@q2[swapper/169]: count 926, average 678, total 628549
@q2[ksoftirqd/169]: count 159, average 731, total 116362


@q4[swapper/169]: count 27689, average 1014, total 28093092
@q4[ksoftirqd/169]: count 16105, average 1443, total 23246339

@q5[swapper/169]: count 217699, average 453, total 98708169
@q5[ksoftirqd/169]: count 127676, average 640, total 81723673

@uc: count 25080, average 1923, total 48250200

@q1[swapper/169]: count 448, average 2681, total 1201093
@q1[ksoftirqd/169]: count 100, average 2874, total 287432
@q1[iperf]: count 2, average 20759, total 41518

@q2[swapper/169]: count 736, average 690, total 508213
@q2[ksoftirqd/169]: count 169, average 712, total 120416
@q2[iperf]: count 2, average 11942, total 23885


@q4[swapper/169]: count 23304, average 1037, total 24179516
@q4[iperf]: count 45, average 1296, total 58351
@q4[ksoftirqd/169]: count 20236, average 1460, total 29559536

@q5[swapper/169]: count 183313, average 462, total 84857770
@q5[iperf]: count 353, average 465, total 164368
@q5[ksoftirqd/169]: count 160548, average 646, total 103742820

@uc: count 28866, average 1926, total 55615776

@q1[swapper/169]: count 565, average 2722, total 1538161
@q1[ksoftirqd/169]: count 88, average 2916, total 256623

@q2[swapper/169]: count 929, average 671, total 623953
@q2[ksoftirqd/169]: count 137, average 901, total 123519


@q4[swapper/169]: count 27706, average 1018, total 28221132
@q4[ksoftirqd/169]: count 15903, average 1447, total 23021361

@q5[swapper/169]: count 217891, average 454, total 99062026
@q5[ksoftirqd/169]: count 126150, average 641, total 80978317

@uc: count 26982, average 1880, total 50738213

@q1[swapper/169]: count 509, average 2803, total 1426840
@q1[ksoftirqd/169]: count 109, average 2912, total 317493

@q2[swapper/169]: count 807, average 670, total 540766
@q2[ksoftirqd/169]: count 155, average 879, total 136340


@q4[swapper/169]: count 25462, average 1029, total 26207333
@q4[ksoftirqd/169]: count 18722, average 1440, total 26964945

@q5[swapper/169]: count 200424, average 458, total 91843888
@q5[ksoftirqd/169]: count 148486, average 638, total 94764018

@uc: count 29222, average 2393, total 69943181

@q1[swapper/169]: count 535, average 2687, total 1437560
@q1[ksoftirqd/169]: count 92, average 3190, total 293480

@q2[swapper/169]: count 868, average 667, total 579471
@q2[ksoftirqd/169]: count 140, average 879, total 123146
@q2[iperf]: count 2, average 3090, total 6181


@q4[swapper/169]: count 26405, average 1014, total 26785863
@q4[iperf]: count 15, average 1242, total 18633
@q4[ksoftirqd/169]: count 17576, average 1445, total 25406445

@q5[swapper/169]: count 207764, average 453, total 94132357
@q5[iperf]: count 116, average 472, total 54839
@q5[ksoftirqd/169]: count 139405, average 639, total 89178318

@uc: count 28298, average 1942, total 54961748

@q1[swapper/169]: count 655, average 2720, total 1781930
@q1[ksoftirqd/169]: count 82, average 2950, total 241913

@q2[swapper/169]: count 1051, average 662, total 696068
@q2[ksoftirqd/169]: count 135, average 896, total 121019
@q2[kworker/169:2]: count 2, average 14242, total 28484


@q4[swapper/169]: count 30070, average 1010, total 30390263
@q4[kworker/169:2]: count 54, average 1326, total 71643
@q4[ksoftirqd/169]: count 13022, average 1484, total 19326537

@q5[swapper/169]: count 236268, average 450, total 106370908
@q5[kworker/169:2]: count 428, average 476, total 203854
@q5[ksoftirqd/169]: count 103216, average 655, total 67629533

@uc: count 22874, average 1993, total 45610257

@q1[swapper/169]: count 526, average 2658, total 1398626
@q1[ksoftirqd/169]: count 89, average 3164, total 281645

@q2[swapper/169]: count 850, average 656, total 557931
@q2[ksoftirqd/169]: count 152, average 824, total 125375


@q4[swapper/169]: count 25920, average 1015, total 26333344
@q4[ksoftirqd/169]: count 17381, average 1457, total 25324661

@q5[swapper/169]: count 203843, average 453, total 92470440
@q5[ksoftirqd/169]: count 137849, average 645, total 88999540

@uc: count 28093, average 2108, total 59246582

@q1[swapper/169]: count 587, average 2718, total 1595802
@q1[ksoftirqd/169]: count 81, average 2946, total 238635

@q2[swapper/169]: count 945, average 677, total 640242
@q2[ksoftirqd/169]: count 124, average 735, total 91181


@q4[swapper/169]: count 27979, average 1021, total 28567413
@q4[ksoftirqd/169]: count 14987, average 1507, total 22596931

@q5[swapper/169]: count 219919, average 455, total 100204963
@q5[ksoftirqd/169]: count 118907, average 665, total 79142629

@uc: count 24576, average 1893, total 46536797

@q1[swapper/169]: count 675, average 2663, total 1798165
@q1[ksoftirqd/169]: count 69, average 3065, total 211495

@q2[swapper/169]: count 1075, average 654, total 703767
@q2[ksoftirqd/169]: count 115, average 930, total 106989


@q4[swapper/169]: count 29627, average 1006, total 29808390
@q4[ksoftirqd/169]: count 13569, average 1487, total 20178746

