Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q2[iperf]: count 2, average 11421, total 22843
@q2[kworker/169:0]: count 1, average 12233, total 12233


@q4[swapper/169]: count 21225, average 1030, total 21873593
@q4[kworker/169:0]: count 55, average 1225, total 67390
@q4[ksoftirqd/169]: count 22304, average 1439, total 32116311
@q4[iperf]: count 32, average 1514, total 48474

@q5[kworker/169:0]: count 435, average 458, total 199500
@q5[swapper/169]: count 166928, average 463, total 77398467
@q5[iperf]: count 248, average 497, total 123408
@q5[ksoftirqd/169]: count 176859, average 647, total 114460895

@uc: count 30585, average 1765, total 54005624

@q1[swapper/169]: count 439, average 2666, total 1170796
@q1[ksoftirqd/169]: count 143, average 2700, total 386116
@q1[iperf]: count 1, average 38162, total 38162

@q2[ksoftirqd/169]: count 223, average 685, total 152866
@q2[swapper/169]: count 654, average 700, total 458119
@q2[iperf]: count 1, average 25147, total 25147


@q4[swapper/169]: count 20956, average 1042, total 21837592
@q4[ksoftirqd/169]: count 22512, average 1448, total 32598014
@q4[iperf]: count 15, average 2166, total 32502

@q5[swapper/169]: count 164808, average 469, total 77305326
@q5[iperf]: count 116, average 557, total 64703
@q5[ksoftirqd/169]: count 178427, average 653, total 116640908

@uc: count 33817, average 1499, total 50716112

@q1[swapper/169]: count 440, average 2650, total 1166272
@q1[ksoftirqd/169]: count 145, average 2918, total 423159
@q1[iperf]: count 1, average 38753, total 38753

@q2[swapper/169]: count 690, average 666, total 459852
@q2[ksoftirqd/169]: count 221, average 789, total 174552
@q2[kworker/169:0]: count 2, average 13535, total 27071
@q2[iperf]: count 1, average 25949, total 25949


@q4[swapper/169]: count 21482, average 1037, total 22280131
@q4[kworker/169:0]: count 47, average 1319, total 62010
@q4[ksoftirqd/169]: count 21964, average 1449, total 31829826
@q4[iperf]: count 13, average 2381, total 30959

@q5[swapper/169]: count 169056, average 466, total 78864802
@q5[kworker/169:0]: count 370, average 474, total 175734
@q5[iperf]: count 100, average 596, total 59659
@q5[ksoftirqd/169]: count 174080, average 652, total 113556076

@uc: count 32101, average 1626, total 52204037

@q1[swapper/169]: count 397, average 2717, total 1078650
@q1[ksoftirqd/169]: count 150, average 2760, total 414106
@q1[iperf]: count 2, average 21876, total 43753

@q2[swapper/169]: count 625, average 685, total 428336
@q2[ksoftirqd/169]: count 230, average 694, total 159829
@q2[iperf]: count 4, average 7837, total 31349


@q4[swapper/169]: count 20201, average 1052, total 21270654
@q4[iperf]: count 51, average 1328, total 67736
@q4[ksoftirqd/169]: count 23168, average 1444, total 33470488

@q5[iperf]: count 397, average 469, total 186485
@q5[swapper/169]: count 158938, average 472, total 75174534
@q5[ksoftirqd/169]: count 183640, average 647, total 118990234

@uc: count 33181, average 1854, total 61545695

@q1[swapper/169]: count 481, average 2680, total 1289126
@q1[ksoftirqd/169]: count 138, average 2818, total 388929

@q2[ksoftirqd/169]: count 201, average 698, total 140456
@q2[swapper/169]: count 729, average 701, total 511499


@q4[swapper/169]: count 22647, average 1031, total 23358121
@q4[ksoftirqd/169]: count 21019, average 1451, total 30501918
@q4[iperf]: count 8, average 3054, total 24436

@q5[swapper/169]: count 178042, average 462, total 82283497
@q5[iperf]: count 64, average 640, total 41017
@q5[ksoftirqd/169]: count 166630, average 651, total 108509080

@uc: count 28908, average 1780, total 51457977

@q1[swapper/169]: count 483, average 2712, total 1310140
@q1[ksoftirqd/169]: count 132, average 2852, total 376514

@q2[swapper/169]: count 692, average 706, total 488629
@q2[ksoftirqd/169]: count 186, average 708, total 131753
@q2[iperf]: count 2, average 7278, total 14557


@q4[swapper/169]: count 21189, average 1039, total 22017219
@q4[iperf]: count 30, average 1298, total 38966
@q4[ksoftirqd/169]: count 22434, average 1460, total 32770047

@q5[swapper/169]: count 166571, average 466, total 77641949
@q5[iperf]: count 234, average 467, total 109481
@q5[ksoftirqd/169]: count 177968, average 654, total 116478444

@uc: count 31747, average 1923, total 61053441

@q1[swapper/169]: count 446, average 2655, total 1184545
@q1[ksoftirqd/169]: count 133, average 2741, total 364642

@q2[swapper/169]: count 683, average 668, total 456855
@q2[ksoftirqd/169]: count 208, average 816, total 169838


@q4[swapper/169]: count 21976, average 1044, total 22955328
@q4[ksoftirqd/169]: count 21767, average 1447, total 31506301

@q5[swapper/169]: count 172870, average 467, total 80892424
@q5[ksoftirqd/169]: count 172572, average 653, total 112777435

@uc: count 31022, average 2357, total 73149147

@q1[swapper/169]: count 452, average 2635, total 1191462
@q1[ksoftirqd/169]: count 131, average 2856, total 374221

@q2[swapper/169]: count 667, average 667, total 445447
@q2[ksoftirqd/169]: count 208, average 802, total 166950


@q4[swapper/169]: count 20527, average 1042, total 21405630
@q4[ksoftirqd/169]: count 22893, average 1464, total 33516233
@q4[iperf]: count 24, average 1913, total 45928

@q5[swapper/169]: count 161410, average 467, total 75405743
@q5[iperf]: count 191, average 537, total 102712
@q5[ksoftirqd/169]: count 181517, average 656, total 119256213

